ruRap	[χyʁap]
Ranéch	[ʁaneʃ]
jvèos	[ʒvɛos]
figok	[figok]
omsal	[omsal]
pivèl	[pivɛl]
élnod	[elnod]
ofkév	[ofkev]
éprat	[epχat]
vusos	[vysos]
ktant	[ktɑ̃t]
gènèr	[gɛnɛχ]
anèil	[anɛil]
dlaèr	[dlaɛχ]
ksans	[ksɑ̃s]
aèmèR	[aɛmɛʁ]
chènav	[ʃɛnav]
vniut	[vniyt]
amzouk	[amzuk]
vomuv	[vomyv]
églim	[eglim]
andof	[ɑ̃dof]
vanéch	[vaneʃ]
rètam	[χɛtam]
vèkèl	[vɛkɛl]
tkèaR	[tkɛaʁ]
oznèr	[oznɛχ]
chètus	[ʃɛtys]
bèsuR	[bɛsyʁ]
èoRaR	[ɛoʁaʁ]
rléoch	[χleoʃ]
itièn	[itiɛn]
gunin	[gynin]
mégoR	[megoʁ]
cholup	[ʃolyp]
pisot	[pisot]
onkèg	[onkɛg]
konoch	[konoʃ]
pnièn	[pniɛn]
ivRog	[ivʁog]
ouvdak	[uvdak]
difès	[difɛs]
iavim	[iavim]
chénon	[ʃenon]
bviès	[bviɛs]
èlRap	[ɛlʁap]
zotèd	[zotɛd]
vaRèk	[vaʁɛk]
minèn	[minɛn]
oudaig	[udaig]
anpos	[ɑ̃pos]
gniab	[gniab]
kèvon	[kɛvon]
zujèv	[zyʒɛv]
énant	[enɑ̃t]
oumsich	[umsiʃ]
ngaèr	[ngaɛχ]
jmiak	[ʒmiak]
jodaR	[ʒodaʁ]
échaén	[eʃaen]
ésrèf	[esχɛf]
danuf	[danyf]
oRiès	[oʁiɛs]
sadig	[sadig]
ètfuj	[ɛtfyʒ]
tojèl	[toʒɛl]
govam	[govam]
fnéop	[fneop]
puRon	[pyʁon]
égmul	[egmyl]
zaRér	[zaʁeχ]
iftuR	[iftyʁ]
ovzat	[ovzat]
dlèip	[dlɛip]
rfias	[χfias]
éRnil	[eʁnil]
bléèm	[bleɛm]
èmdin	[ɛmdin]
tsèot	[tsɛot]
énvél	[envel]
limoch	[limoʃ]
zmèal	[zmɛal]
iaroul	[iaχul]
ulsèj	[ylsɛʒ]
lèRèz	[lɛʁɛz]
asnon	[asnon]
ésrol	[esχol]
ulboR	[ylboʁ]
ésaèn	[esaɛn]
obdak	[obdak]
fabèch	[fabɛʃ]
fléov	[fleov]
anrév	[ɑ̃χev]
fanal	[fanal]
zimaj	[zimaʒ]
pupup	[pypyp]
pètan	[pɛtan]
nèRuf	[nɛʁyf]
èachis	[ɛaʃis]
vzéal	[vzeal]
ogéav	[ogeav]
anvès	[ɑ̃vɛs]
opioch	[opioʃ]
jolèt	[ʒolɛt]
kanèch	[kanɛʃ]
ouschul	[usʃyl]
éèlon	[eɛlon]
alvas	[alvas]
lnèil	[lnɛil]
roRak	[χoʁak]
opsoR	[opsoʁ]
èskèR	[ɛskɛʁ]
èsnis	[ɛsnis]
pnaiv	[pnaiv]
koudén	[kuden]
énvan	[envan]
anRik	[ɑ̃ʁik]
totis	[totis]
kèchèR	[kɛʃɛʁ]
bnioun	[bniun]
bobun	[bobyn]
ulsid	[ylsid]
isfon	[isfon]
èomèp	[ɛomɛp]
Rgèav	[ʁgɛav]
sachaR	[saʃaʁ]
bgiol	[bgiol]
éèlèm	[eɛlɛm]
sonin	[sonin]
sèmuR	[sɛmyʁ]
érsal	[eχsal]
otèim	[otɛim]
oslèl	[oslɛl]
aètoul	[aɛtul]
oubaèn	[ubaɛn]
ansaR	[ɑ̃saʁ]
chuzuch	[ʃyzyʃ]
anRor	[ɑ̃ʁoχ]
bgaèr	[bgaɛχ]
irtis	[iχtis]
urlav	[yχlav]
sanaf	[sɑ̃af]
onain	[onain]
tuchot	[tyʃot]
urlum	[yχlym]
ouvèiR	[uvɛiʁ]
éègar	[eɛgaχ]
gvèob	[gvɛob]
rpéal	[χpeal]
tévik	[tevik]
darès	[daχɛs]
ouRdan	[uʁdan]
vérip	[veχip]
zanan	[zanan]
oulgal	[ulgal]
èagèr	[ɛagɛχ]
foRun	[foʁyn]
baRir	[baʁiχ]
ichkov	[iʃkov]
outsèf	[utsɛf]
dRiéch	[dʁieʃ]
asroch	[asχoʃ]
avjèn	[avʒɛn]
ènsan	[ɛnsan]
Rèson	[ʁɛson]
doRén	[doʁen]
jnaés	[ʒnaes]
rlaès	[χlaɛs]
upnok	[ypnok]
angur	[ɑ̃gyχ]
Rmiuch	[ʁmiyʃ]
putos	[pytos]
oulfès	[ulfɛs]
ponoj	[ponoʒ]
zjèas	[zʒɛas]
aésèn	[aesɛn]
ovzum	[ovzym]
glios	[glios]
zafil	[zafil]
lRèan	[lʁɛan]
ièmis	[iɛmis]
ousiop	[usiop]
oulnon	[ulnon]
bilit	[bilit]
uvnis	[yvnis]
Ronim	[ʁonim]
ouRmol	[uʁmol]
èchanl	[ɛʃɑ̃l]
larèch	[laχɛʃ]
uRnoud	[yʁnud]
ouRiad	[uʁiad]
olaèt	[olaɛt]
ivgaf	[ivgaf]
évmuch	[evmyʃ]
bilès	[bilɛs]
dRèél	[dʁɛel]
jovon	[ʒovon]
udéan	[ydean]
otanp	[otɑ̃p]
tsèél	[tsɛel]
altut	[altyt]
bokèj	[bokɛʒ]
jvéot	[ʒveot]
anlil	[ɑ̃lil]
jnéav	[ʒneav]
Ronèt	[ʁonɛt]
rtèap	[χtɛap]
dupoum	[dypum]
umvuch	[ymvyʃ]
bigit	[bigit]
Rilob	[ʁilob]
uglan	[yglan]
oumsol	[umsol]
odzès	[odzɛs]
istal	[istal]
gniat	[gniat]
èakoun	[ɛakun]
paRèm	[paʁɛm]
galèn	[galɛn]
msèit	[msɛit]
ochfoun	[oʃfun]
rèzov	[χɛzov]
mèpis	[mɛpis]
dbèuR	[dbɛyʁ]
snanm	[snɑ̃m]
chuRèm	[ʃyʁɛm]
èsnol	[ɛsnol]
èvlal	[ɛvlal]
èRdin	[ɛʁdin]
udzis	[ydzis]
gnian	[gnian]
èjèin	[ɛʒɛin]
kmèal	[kmɛal]
zdaiv	[zdaiv]
gunèz	[gynɛz]
almèk	[almɛk]
èpéas	[ɛpeas]
tagèn	[tagɛn]
tlèur	[tlɛyχ]
odvus	[odvys]
mkèon	[mkɛon]
ètlèm	[ɛtlɛm]
gvèot	[gvɛot]
fkèun	[fkɛyn]
fnaèn	[fnaɛn]
èjlam	[ɛʒlam]
jdèis	[ʒdɛis]
vuRèt	[vyʁɛt]
émgos	[emgos]
rèlèn	[χɛlɛn]
lalach	[lalaʃ]
évRan	[evʁan]
nlèal	[nlɛal]
ovnov	[ovnov]
vRièd	[vʁiɛd]
mfèas	[mfɛas]
aglod	[aglod]
iRèal	[iʁɛal]
Rosos	[ʁosos]
onrag	[onχag]
amtèn	[amtɛn]
kséon	[kseon]
énsob	[ensob]
oufném	[ufnem]
smèad	[smɛad]
éfpot	[efpot]
dvèan	[dvɛan]
aifog	[aifog]
alais	[alais]
ènRut	[ɛnʁyt]
aèsan	[aɛsan]
gonug	[gonyg]
pnéus	[pneys]
ingit	[ingit]
soRor	[soʁoχ]
bRioR	[bʁioʁ]
ivnèch	[ivnɛʃ]
ujanm	[yʒɑ̃m]
chunat	[ʃynat]
vméin	[vmein]
ndaèt	[ndaɛt]
gjaik	[gʒaik]
koséR	[koseʁ]
usnom	[ysnom]
znèon	[znɛon]
aigèn	[aigɛn]
féRig	[feʁig]
élRich	[elʁiʃ]
aèjèp	[aɛʒɛp]
ouRlon	[uʁlon]
opkim	[opkim]
uRièp	[yʁiɛp]
anRos	[anʁos]
blèon	[blɛon]
évain	[evain]
chpéam	[ʃpeam]
ouRéèt	[uʁeɛt]
ourèach	[uχɛaʃ]
gèann	[gɛɑ̃n]
chèanp	[ʃɛɑ̃p]
lèsèl	[lɛsɛl]
èzail	[ɛzail]
knanl	[knɑ̃l]
ratès	[χatɛs]
padun	[padyn]
todak	[todak]
nRiar	[nʁiaχ]
pojèk	[poʒɛk]
jnait	[ʒnait]
uchfoch	[yʃfoʃ]
abzam	[abzam]
ufiam	[yfiam]
jlaèk	[ʒlaɛk]
nfèat	[nfɛat]
éanèch	[eanɛʃ]
ouftav	[uftav]
taans	[taɑ̃s]
nènat	[nɛnat]
ounRav	[unʁav]
échfun	[eʃfyn]
dèlèl	[dɛlɛl]
zRèot	[zʁɛot]
dziap	[dziap]
gnail	[gnail]
èdvèl	[ɛdvɛl]
onsèn	[onsɛn]
chosuch	[ʃosyʃ]
voRop	[voʁop]
blion	[blion]
aspin	[aspin]
isièn	[isiɛn]
èmaét	[ɛmaet]
zlaèk	[zlaɛk]
sanak	[sanak]
udvèt	[ydvɛt]
ufèum	[yfɛym]
anpub	[anpyb]
iadil	[iadil]
vanus	[vanys]
gvéus	[gveys]
gjaél	[gʒael]
èutèz	[ɛytɛz]
énRèr	[enʁɛχ]
vasoch	[vasoʃ]
gmaèn	[gmaɛn]
zdèon	[zdɛon]
èfsès	[ɛfsɛs]
éuvut	[eyvyt]
podor	[podoχ]
susav	[sysav]
iksol	[iksol]
ismoR	[ismoʁ]
suRon	[syʁon]
disèn	[disɛn]
novov	[novov]
fèvès	[fɛvɛs]
ichnon	[iʃnon]
éovun	[eovyn]
ilsiR	[ilsiʁ]
étèul	[etɛyl]
atial	[atial]
nraèn	[nχaɛn]
klail	[klail]
anèur	[anɛyχ]
èvnof	[ɛvnof]
antup	[antyp]
amgus	[amgys]
dounol	[dunol]
ouvnèn	[uvnɛn]
ktain	[ktain]
utièp	[ytiɛp]
bèvoR	[bɛvoʁ]
ozèat	[ozɛat]
koRun	[koʁyn]
éumin	[eymin]
bèvék	[bɛvek]
nèlap	[nɛlap]
nlanp	[nlɑ̃p]
vosoun	[vosun]
dRèin	[dʁɛin]
odlaf	[odlaf]
sunik	[synik]
unpan	[ynpan]
notif	[notif]
achlon	[aʃlon]
vujèf	[vyʒɛf]
bufon	[byfon]
iaRod	[iaʁod]
zjèos	[zʒɛos]
tuRad	[tyʁad]
kèmap	[kɛmap]
énRut	[enʁyt]
antal	[ɑ̃tal]
lnéèm	[lneɛm]
vonat	[vonat]
zRèul	[zʁɛyl]
ènvol	[ɛnvol]
éjvuv	[eʒvyv]
usèin	[ysɛin]
sènan	[sɛnan]
irnol	[iχnol]
loukèl	[lukɛl]
vison	[vison]
lgèup	[lgɛyp]
alièl	[aliɛl]
chègiv	[ʃɛgiv]
èrkan	[ɛχkan]
érièt	[eχiɛt]
èvlèm	[ɛvlɛm]
dèlév	[dɛlev]
énRèt	[enʁɛt]
oklous	[oklus]
ousèol	[usɛol]
anvul	[ɑ̃vyl]
èaton	[ɛaton]
évnav	[evnav]
tusuz	[tysyz]
ièsuk	[iɛsyk]
chèdot	[ʃɛdot]
bnèib	[bnɛib]
dzaét	[dzaet]
éèzoch	[eɛzoʃ]
spann	[spɑ̃n]
èlsol	[ɛlsol]
itlun	[itlyn]
ansus	[ɑ̃sys]
bifot	[bifot]
ènlun	[ɛnlyn]
chtèés	[ʃtɛes]
omlit	[omlit]
Runul	[ʁynyl]
onaèb	[onaɛb]
orèiz	[oχɛiz]
polan	[polan]
snèin	[snɛin]
vurév	[vyχev]
sfail	[sfail]
anRug	[anʁyg]
oknan	[oknan]
sanèm	[sanɛm]
azèot	[azɛot]
Rjain	[ʁʒain]
férach	[feχaʃ]
nanis	[nanis]
lnann	[lnɑ̃n]
tsian	[tsian]
mèRuk	[mɛʁyk]
ionin	[ionin]
ibRèn	[ibʁɛn]
ozéèg	[ozeɛg]
érsun	[eχsyn]
nsèous	[nsɛus]
cholèn	[ʃolɛn]
iègam	[iɛgam]
flèoun	[flɛun]
nénap	[nenap]
vRaèd	[vʁaɛd]
ousrouz	[usχuz]
éakan	[eakan]
oupiét	[upiet]
èolor	[ɛoloχ]
Rlèav	[ʁlɛav]
bzaès	[bzaɛs]
dmaès	[dmaɛs]
guchèch	[gyʃɛʃ]
iudan	[iydan]
nopot	[nopot]
navas	[navas]
skéèl	[skeɛl]
funut	[fynyt]
ikiar	[ikiaχ]
Ranèn	[ʁɑ̃ɛn]
chotun	[ʃotyn]
inkot	[inkot]
busèl	[bysɛl]
gogén	[gogen]
rusèp	[χysɛp]
osmis	[osmis]
jlèun	[ʒlɛyn]
vodèch	[vodɛʃ]
Rènot	[ʁɛnot]
bévot	[bevot]
Rvèig	[ʁvɛig]
zléèn	[zleɛn]
ouvdon	[uvdon]
ngair	[ngaiχ]
jofon	[ʒofon]
lnaèv	[lnaɛv]
indon	[indon]
gunés	[gynes]
uzRén	[yzʁen]
nvioch	[nvioʃ]
chofél	[ʃofel]
bvèév	[bvɛev]
tunas	[tynas]
éoRif	[eoʁif]
novun	[novyn]
pérur	[peχyχ]
psèéb	[psɛeb]
zènop	[zɛnop]
pèchon	[pɛʃon]
skèin	[skɛin]
mvèol	[mvɛol]
jaanv	[ʒaɑ̃v]
aèchus	[aɛʃys]
ochsor	[oʃsoχ]
iuRov	[iyʁov]
Rjéam	[ʁʒeam]
ounmèt	[unmɛt]
falèl	[falɛl]
gubèt	[gybɛt]
nRèit	[nʁɛit]
jéluk	[ʒelyk]
chnièk	[ʃniɛk]
mzanl	[mzɑ̃l]
plèom	[plɛom]
fnaès	[fnaɛs]
émros	[emχos]
agéèn	[ageɛn]
ansuch	[ɑ̃syʃ]
anjur	[ɑ̃ʒyχ]
sasiv	[sasiv]
ourlél	[uχlel]
ièzèl	[iɛzɛl]
jRèan	[ʒʁɛan]
japèn	[ʒapɛn]
ftioch	[ftioʃ]
blèin	[blɛin]
unRèR	[ynʁɛʁ]
ièsan	[iɛsan]
onfas	[onfas]
bdèov	[bdɛov]
jèjan	[ʒɛʒan]
iaRot	[iaʁot]
fmaés	[fmaes]
muvuR	[myvyʁ]
itèéR	[itɛeʁ]
évièt	[eviɛt]
bèans	[bɛɑ̃s]
aèrif	[aɛχif]
aRlès	[aʁlɛs]
rtèol	[χtɛol]
rtaéb	[χtaeb]
zlaèl	[zlaɛl]
klèul	[klɛyl]
novim	[novim]
ronom	[χonom]
ounmis	[unmis]
èRdip	[ɛʁdip]
chèchul	[ʃɛʃyl]
zmèon	[zmɛon]
sléuch	[sleyʃ]
namul	[namyl]
jèvos	[ʒɛvos]
fatèt	[fatɛt]
ontol	[ontol]
vRiut	[vʁiyt]
jovik	[ʒovik]
avèak	[avɛak]
ounlif	[unlif]
kovèl	[kovɛl]
chitak	[ʃitak]
iulus	[iylys]
pasès	[pasɛs]
pchaèl	[pʃaɛl]
gdaèl	[gdaɛl]
alfoch	[alfoʃ]
énlan	[enlan]
cholat	[ʃolat]
ivèos	[ivɛos]
jlèoch	[ʒlɛoʃ]
ktèal	[ktɛal]
èuRov	[ɛyʁov]
sfiun	[sfiyn]
znaès	[znaɛs]
sopuf	[sopyf]
èRvach	[ɛʁvaʃ]
bRaèp	[bʁaɛp]
uRaèp	[yʁaɛp]
ltèal	[ltɛal]
tféad	[tfead]
oudmin	[udmin]
èurun	[ɛyχyn]
stain	[stain]
inRol	[inʁol]
zumim	[zymim]
pnaèl	[pnaɛl]
psaèl	[psaɛl]
alnuR	[alnyʁ]
pnéam	[pneam]
rlèim	[χlɛim]
ivèig	[ivɛig]
tliuv	[tliyv]
ousnèn	[usnɛn]
gliaz	[gliaz]
banèch	[banɛʃ]
zègèn	[zɛgɛn]
apnuv	[apnyv]
dègin	[dɛgin]
dléèl	[dleɛl]
ksanv	[ksɑ̃v]
losun	[losyn]
értaR	[eχtaʁ]
ètaét	[ɛtaet]
rnèéch	[χnɛeʃ]
nédun	[nedyn]
mlèit	[mlɛit]
rlièp	[χliɛp]
vzéoR	[vzeoʁ]
alsèf	[alsɛf]
onmoul	[onmul]
dbaèp	[dbaɛp]
èoRèv	[ɛoʁɛv]
èochit	[ɛoʃit]
rniul	[χniyl]
vèfèv	[vɛfɛv]
pavok	[pavok]
éotor	[eotoχ]
mkéès	[mkeɛs]
pèrub	[pɛχyb]
anlèt	[ɑ̃lɛt]
mvèal	[mvɛal]
èlsaR	[ɛlsaʁ]
chufèk	[ʃyfɛk]
mvèun	[mvɛyn]
mulor	[myloχ]
chniov	[ʃniov]
aèpom	[aɛpom]
amkoul	[amkul]
oltin	[oltin]
ogban	[ogban]
udvom	[ydvom]
ponèv	[ponɛv]
iuval	[iyval]
viRéR	[viʁeʁ]
botun	[botyn]
gnèav	[gnɛav]
fulél	[fylel]
rulèl	[χylɛl]
nRèot	[nʁɛot]
tuRol	[tyʁol]
mnèok	[mnɛok]
èjRid	[ɛʒʁid]
Répèch	[ʁepɛʃ]
jèRén	[ʒɛʁen]
sozèn	[sozɛn]
Ranéb	[ʁaneb]
mRaés	[mʁaes]
jnéal	[ʒneal]
ounlol	[unlol]
anlad	[ɑ̃lad]
urnaf	[yχnaf]
dlèén	[dlɛen]
épèis	[epɛis]
Rgaèr	[ʁgaɛχ]
spaét	[spaet]
oufnil	[ufnil]
unzoul	[ynzul]
èlail	[ɛlail]
tuzèn	[tyzɛn]
fatuch	[fatyʃ]
aèlèn	[aɛlɛn]
jvéas	[ʒveas]
zvèas	[zvɛas]
éprèg	[epχɛg]
nèanr	[nɛɑ̃χ]
onrul	[onχyl]
odaid	[odaid]
zosin	[zosin]
fuvèR	[fyvɛʁ]
Ropès	[ʁopɛs]
fséas	[fseas]
nmiol	[nmiol]
manad	[manad]
jzain	[ʒzain]
anvoul	[ɑ̃vul]
éolas	[eolas]
jgièt	[ʒgiɛt]
vlaès	[vlaɛs]
sliob	[sliob]
ugmur	[ygmyχ]
ojnin	[oʒnin]
séfus	[sefys]
éèzog	[eɛzog]
nviéf	[nvief]
gunan	[gynan]
vlaés	[vlaes]
onvil	[onvil]
iozèt	[iozɛt]
Rounèd	[ʁunɛd]
udluz	[ydlyz]
ftais	[ftais]
Rviès	[ʁviɛs]
èRnèm	[ɛʁnɛm]
zavuch	[zavyʃ]
vmian	[vmian]
avlèn	[avlɛn]
iulos	[iylos]
fènéf	[fɛnef]
énmèl	[enmɛl]
onaèl	[onaɛl]
imsèv	[imsɛv]
isaén	[isaen]
admon	[admon]
bèpin	[bɛpin]
léRal	[leʁal]
blièd	[bliɛd]
nkain	[nkain]
buRof	[byʁof]
aRnun	[aʁnyn]
mlaèm	[mlaɛm]
aétur	[aetyχ]
idgul	[idgyl]
nozun	[nozyn]
gviél	[gviel]
patol	[patol]
ilnès	[ilnɛs]
batiR	[batiʁ]
aidom	[aidom]
vigaj	[vigaʒ]
tèvin	[tɛvin]
unèuf	[ynɛyf]
épiés	[epies]
énain	[enain]
èusèt	[ɛysɛt]
sèann	[sɛɑ̃n]
ènièl	[ɛniɛl]
zlaèf	[zlaɛf]
anRaf	[ɑ̃ʁaf]
vèlèt	[vɛlɛt]
kèsok	[kɛsok]
anpob	[ɑ̃pob]
dukot	[dykot]
étsèt	[etsɛt]
ousiél	[usiel]
mlial	[mlial]
oubnich	[ubniʃ]
untan	[yntan]
Rzèil	[ʁzɛil]
ékmop	[ekmop]
éoRim	[eoʁim]
annuch	[ɑ̃nyʃ]
èiRèm	[ɛiʁɛm]
slèol	[slɛol]
lovuk	[lovyk]
aèlat	[aɛlat]
mipèn	[mipɛn]
sonès	[sonɛs]
èlgud	[ɛlgyd]
liRot	[liʁot]
vnèon	[vnɛon]
fsiar	[fsiaχ]
uvlar	[yvlaχ]
oumpoz	[umpoz]
kuguch	[kygyʃ]
aèRan	[aɛʁan]
éuRèv	[eyʁɛv]
oRdoun	[oʁdun]
orèak	[oχɛak]
rovèz	[χovɛz]
antan	[ɑ̃tan]
ltaèz	[ltaɛz]
klèol	[klɛol]
tuchèn	[tyʃɛn]
pugoR	[pygoʁ]
nitun	[nityn]
guzil	[gyzil]
jovan	[ʒovan]
bléil	[bleil]
vèsot	[vɛsot]
jniun	[ʒniyn]
iésav	[iesav]
chaniv	[ʃaniv]
èkéof	[ɛkeof]
èlRér	[ɛlʁeχ]
baanl	[baɑ̃l]
sonèn	[sonɛn]
gbèim	[gbɛim]
uktop	[yktop]
oumchoum	[umʃum]
anvan	[ɑ̃van]
ulmim	[ylmim]
urèon	[yχɛon]
uvlèR	[yvlɛʁ]
Ravun	[ʁavyn]
astèn	[astɛn]
ébnol	[ebnol]
ialoch	[ialoʃ]
aknous	[aknus]
tukon	[tykon]
viant	[viɑ̃t]
aslop	[aslop]
irlon	[iχlon]
ènkal	[ɛnkal]
rètol	[χɛtol]
Ronun	[ʁonyn]
arlot	[aχlot]
èimèt	[ɛimɛt]
umlik	[ymlik]
makit	[makit]
Ravol	[ʁavol]
savèn	[savɛn]
élson	[elson]
ozèich	[ozɛiʃ]
Rilél	[ʁilel]
chochèl	[ʃoʃɛl]
taRèl	[taʁɛl]
gnious	[gnius]
gènèj	[gɛnɛʒ]
flèét	[flɛet]
mRèan	[mʁɛan]
dasak	[dasak]
arlon	[aχlon]
ochlèn	[oʃlɛn]
ièvat	[iɛvat]
