ianlèRjèum	[ianlɛʁʒɛym]
chmèrablaèzon	[ʃmɛχablaɛzon]
adlunzèiRièlganf	[adlynzɛiʁiɛlgɑ̃f]
èamègRam	[ɛamɛgʁam]
lnèilmiakisonlaton	[lnɛilmiakisonlaton]
onièl	[oniɛl]
zjaRaif	[zʒaʁaif]
kotaétèadlataèRiatlèok	[kotaetɛadlataɛʁiatlɛok]
tadRarnèlmoréR	[tadʁaχnɛlmoχeʁ]
éèRlèRèd	[eɛʁlɛʁɛd]
R	[ʁ]
jèsnovmovnélzèis	[ʒɛsnovmovnelzɛis]
urèvguvzus	[yχɛvgyvzys]
ptav	[ptav]
os	[os]
nèr	[nɛχ]
maslochros	[masloʃχos]
zvènlèuvèafubun	[zvɛnlɛyvɛafybyn]
ltak	[ltak]
nriar	[nχiaχ]
utrungèunjotèofrèn	[ytχyngɛynʒotɛofχɛn]
iR	[iʁ]
itséoliuch	[itseoliyʃ]
al	[al]
ial	[ial]
atos	[atos]
nul	[nyl]
iz	[iz]
dèonfèatèoutiuRlèmnovdasigotéR	[dɛonfɛatɛutiyʁlɛmnovdasigoteʁ]
ujétoRnèskal	[yʒetoʁnɛskal]
ouvnès	[uvnɛs]
zgumRos	[zgymʁos]
ofnanRananl	[ofnanʁanɑ̃l]
zlonèinèltur	[zlonɛinɛltyχ]
él	[el]
noRivdain	[noʁivdain]
iuv	[iyv]
zbélnèatséinrèb	[zbelnɛatseinχɛb]
énsiènurchamRèjvanvalnèloznin	[ensiɛnyχʃamʁɛʒvanvalnɛloznin]
movitèfluvmèitlaèp	[movitɛflyvmɛitlaɛp]
lnon	[lnon]
djaRupotiRovnét	[dʒaʁypotiʁovnet]
aRèd	[aʁɛd]
lgansèntas	[lgɑ̃sɛntas]
avlèf	[avlɛf]
ijvasiomolénèl	[iʒvasiomolenɛl]
gnodRoduvéRlèovot	[gnodʁodyveʁlɛovot]
èut	[ɛyt]
tabRèsobniutrostèén	[tabʁɛsobniytχostɛen]
runoch	[χynoʃ]
évjèpnèsoral	[evʒɛpnɛsoχal]
zèltanvut	[zɛltanvyt]
pnalfaid	[pnalfaid]
jnus	[ʒnys]
j	[ʒ]
an	[an]
nkèétunvèRiuzilèonuRjonudvuvuRnudochaloulsosan	[nkɛetynvɛʁiyzilɛonyʁʒonydvyvyʁnydoʃalulsosan]
josèom	[ʒosɛom]
saznés	[saznes]
sétlirnonéRvél	[setliχnoneʁvel]
kiémkanlin	[kiemkanlin]
dèsuj	[dɛsyʒ]
èandosmaèk	[ɛandosmaɛk]
anèlun	[ɑ̃ɛlyn]
il	[il]
bèpéènRéknaRmèatioRaisèédik	[bɛpeɛnʁeknaʁmɛatioʁaisɛedik]
pfanèzvétchinkèsèt	[pfanɛzvetʃinkɛsɛt]
mRèévjiachtal	[mʁɛevʒiaʃtal]
ich	[iʃ]
jdèlonvavouRaèstèngaèkièdvèonRèinogRagRamnosos	[ʒdɛlonvavuʁaɛstɛngaɛkiɛdvɛonʁɛinogʁagʁamnosos]
tochiz	[toʃiz]
anmfèonèunèRlèschilnachiènviaf	[ɑ̃mfɛonɛynɛʁlɛsʃilnaʃiɛnviaf]
upusovnavjurèanfovoRamèpaRnuf	[ypysovnavʒyχɛanfovoʁamɛpaʁnyf]
chéolès	[ʃeolɛs]
osnolèf	[osnolɛf]
chsulanar	[ʃsylanaχ]
pèéchinéun	[pɛeʃineyn]
ivnèilnéèchnèivèivinkitfin	[ivnɛilneɛʃnɛivɛivinkitfin]
glèinloch	[glɛinloʃ]
jièfègjaznuvèoulRaplètlol	[ʒiɛfɛgʒaznyvɛulʁaplɛtlol]
zèan	[zɛan]
koch	[koʃ]
ivispuronèn	[ivispyχonɛn]
Ranès	[ʁɑ̃ɛs]
g	[g]
gniés	[gnies]
èdudomibléasmiamRèolopséd	[ɛdydomibleasmiamʁɛolopsed]
anbnutianmain	[ɑ̃bnytiɑ̃main]
ivèkèmaRlan	[ivɛkɛmaʁlan]
tolavanmatéogléf	[tolavanmateoglef]
édlèch	[edlɛʃ]
anrlolioRjèltodéavdignalgènigviapkuvmèdokotsoloudèutlèuvos	[ɑ̃χlolioʁʒɛltodeavdignalgɛnigviapkyvmɛdokotsoludɛytlɛyvos]
anlachèRlutsuRur	[ɑ̃laʃɛʁlytsyʁyχ]
oujnos	[uʒnos]
gmèuRdonzén	[gmɛyʁdonzen]
siokèochusléisnènpos	[siokɛoʃysleisnɛnpos]
fsèch	[fsɛʃ]
unèRès	[ynɛʁɛs]
slumat	[slymat]
éèl	[eɛl]
zurolèozèovèt	[zyχolɛozɛovɛt]
dèjèkam	[dɛʒɛkam]
iorur	[ioχyχ]
nadozvotpulérsaltantofaintonulamfov	[nadozvotpyleχsaltantofaintonylamfov]
afnèunalènout	[afnɛynalɛnut]
ènèzdèir	[ɛnɛzdɛiχ]
alut	[alyt]
diuk	[diyk]
prik	[pχik]
apkaènuRiul	[apkaɛnyʁiyl]
Rnèés	[ʁnɛes]
dondol	[dondol]
afichlaètlopnuvnaféotovmonétèlvanapunjaigogèasèt	[afiʃlaɛtlopnyvnafeotovmonetɛlvɑ̃apynʒaigogɛasɛt]
inrispéiltunvounèim	[inχispeiltynvunɛim]
fupansiasèt	[fypansiasɛt]
at	[at]
gipènèagag	[gipɛnɛagag]
anmèngufomsup	[ɑ̃mɛngyfomsyp]
sèk	[sɛk]
babvémènrousipaèjzèplos	[babvemɛnχusipaɛʒzɛplos]
vboschosèm	[vbosʃosɛm]
k	[k]
tub	[tyb]
aèsus	[aɛsys]
salsèégbèoun	[salsɛegbɛun]
ratlilèovip	[χatlilɛovip]
nbèotous	[nbɛotus]
rol	[χol]
momiéR	[momieʁ]
ilunuzièv	[ilynyziɛv]
vas	[vas]
ém	[em]
idatèizlumfèRnaglun	[idatɛizlymfɛʁnaglyn]
ruféitèitènanlèRiRdol	[χyfeitɛitɛnanlɛʁiʁdol]
dèchsèplaènupnadès	[dɛʃsɛplaɛnypnadɛs]
oRdonisèurnivlornojachol	[oʁdonisɛyχnivloχnoʒaʃol]
oumalichoRzèsolèl	[umaliʃoʁzɛsolɛl]
aèn	[aɛn]
oum	[um]
èRavèflin	[ɛʁavɛflin]
ountièronènbig	[untiɛχonɛnbig]
og	[og]
naantèaslaivon	[naɑ̃tɛaslaivon]
lsuknuRlénèRnètèténvolèotsamlof	[lsyknyʁlenɛʁnɛtɛtenvolɛotsamlof]
fèol	[fɛol]
lnovèojmèzèinkiad	[lnovɛoʒmɛzɛinkiad]
nlilodRanR	[nlilodʁɑ̃ʁ]
éaRjèavéflèRjèumèanniélsovur	[eaʁʒɛaveflɛʁʒɛymɛɑ̃nielsovyχ]
lvoséar	[lvoseaχ]
fuv	[fyv]
anl	[ɑ̃l]
pnujilnèd	[pnyʒilnɛd]
èsovganadovulRognaèrivèsièRmachin	[ɛsovgɑ̃adovylʁognaɛχivɛsiɛʁmaʃin]
tèstol	[tɛstol]
chfaRaén	[ʃfaʁaen]
gionuRnun	[gionyʁnyn]
chiltin	[ʃiltin]
èan	[ɛan]
buRévéusirnaf	[byʁeveysiχnaf]
oR	[oʁ]
omor	[omoχ]
rul	[χyl]
dzaèvnéèRad	[dzaɛvneɛʁad]
rsulèusaès	[χsylɛysaɛs]
kuchètlol	[kyʃɛtlol]
éch	[eʃ]
Rnuv	[ʁnyv]
anRvul	[ɑ̃ʁvyl]
omjupèRlèséilziok	[omʒypɛʁlɛseilziok]
zjijiRzèamroRol	[zʒiʒiʁzɛamχoʁol]
élnéuRainéètiém	[elneyʁaineɛtiem]
oumgènunèlovnolol	[umgɛnynɛlovnolol]
guR	[gyʁ]
chlèRonlolnéèn	[ʃlɛʁonlolneɛn]
rèatavanéèlos	[χɛatavaneɛlos]
Rmiufadèunovièplosinaésolgèuvnèg	[ʁmiyfadɛynoviɛplosinaesolgɛyvnɛg]
zoR	[zoʁ]
nvoujifèaRlogèsnèvRiR	[nvuʒifɛaʁlogɛsnɛvʁiʁ]
anm	[ɑ̃m]
tmaiRéunRimvibimèichoch	[tmaiʁeynʁimvibimɛiʃoʃ]
éulvavmugjoj	[eylvavmygʒoʒ]
notougbèRnénèagèok	[notugbɛʁnenɛagɛok]
tozotlodlup	[tozotlodlyp]
ant	[ɑ̃t]
fénRanèn	[fenʁɑ̃ɛn]
atèoukol	[atɛukol]
ul	[yl]
iach	[iaʃ]
èntosnalnuRèoduch	[ɛntosnalnyʁɛodyʃ]
anvlèousèzièn	[ɑ̃vlɛusɛziɛn]
chliviotonodèl	[ʃliviotonodɛl]
jnatirsèv	[ʒnatiχsɛv]
l	[l]
évRovjaéchsanlotmain	[evʁovʒaeʃsanlotmain]
èol	[ɛol]
iugmin	[iygmin]
évir	[eviχ]
nbumlét	[nbymlet]
vmèdliol	[vmɛdliol]
zèivéanèas	[zɛiveanɛas]
lvutlonèéloch	[lvytlonɛeloʃ]
gaèchsazamnochlustol	[gaɛʃsazamnoʃlystol]
sol	[sol]
inèsigluntènèséRèamuchif	[inɛsiglyntɛnɛseʁɛamyʃif]
jdiR	[ʒdiʁ]
ouRajèmatèanzét	[uʁaʒɛmatɛɑ̃zet]
tèlulaituzliRaisiunèélminmiulRèt	[tɛlylaityzliʁaisiynɛelminmiylʁɛt]
viovigdodèiv	[viovigdodɛiv]
fonan	[fonan]
ichnip	[iʃnip]
om	[om]
mnovloduvèél	[mnovlodyvɛel]
dgolovnaèn	[dgolovnaɛn]
snéf	[snef]
déRnèzgotojnontavèlsèazèod	[deʁnɛzgotoʒnontavɛlsɛazɛod]
oupéilvalètlèrlègnan	[upeilvalɛtlɛχlɛgnan]
dmilolnilisfarnalèd	[dmilolnilisfaχnalɛd]
pliantèmvoup	[pliɑ̃tɛmvup]
rnèosponir	[χnɛosponiχ]
mèv	[mɛv]
kténèinlann	[ktenɛinlɑ̃n]
ir	[iχ]
pèontanal	[pɛontɑ̃al]
chaèm	[ʃaɛm]
jlajas	[ʒlaʒas]
anidRèR	[ɑ̃idʁɛʁ]
udus	[ydys]
mdèuvipèiRègag	[mdɛyvipɛiʁɛgag]
jlaèt	[ʒlaɛt]
ouch	[uʃ]
anèdvéèRin	[ɑ̃ɛdveɛʁin]
avnèoudRèkuntudiéRal	[avnɛudʁɛkyntydieʁal]
vRon	[vʁon]
tun	[tyn]
bgazèkasionochèolun	[bgazɛkasionoʃɛolyn]
Rnèsèv	[ʁnɛsɛv]
rtèonètèuntonmuRninlèvanmolumuchnaRvanègièlsiuv	[χtɛonɛtɛyntonmyʁninlɛvanmolymyʃnaʁvɑ̃ɛgiɛlsiyv]
rudatilasnèonméstik	[χydatilasnɛonmestik]
jubag	[ʒybag]
ait	[ait]
znovaviésnèl	[znovaviesnɛl]
chrèmènior	[ʃχɛmɛnioχ]
anid	[ɑ̃id]
kléopnaèch	[kleopnaɛʃ]
Rluch	[ʁlyʃ]
znunlèguRnètsotuvènèzézinRatousèntul	[znynlɛgyʁnɛtsotyvɛnɛzezinʁatusɛntyl]
jlanij	[ʒlɑ̃iʒ]
sèlménvolèl	[sɛlmenvolɛl]
oliranguskagubiak	[oliχangyskagybiak]
anlèonmanon	[ɑ̃lɛonmanon]
fchavbulilniR	[fʃavbylilniʁ]
rnasnanlor	[χnasnanloχ]
ousinèamèasèolatiènRun	[usinɛamɛasɛolatiɛnʁyn]
ovmofkaipoRvaiRiajèotuzvavRar	[ovmofkaipoʁvaiʁiaʒɛotyzvavʁaχ]
Rnun	[ʁnyn]
vièlnot	[viɛlnot]
oRlas	[oʁlas]
rnaloutlatiochsèRnèvalèglèR	[χnalutlatioʃsɛʁnɛvalɛglɛʁ]
vaèRèl	[vaɛʁɛl]
sièRéovbivnéètèn	[siɛʁeovbivneɛtɛn]
andèrnèl	[ɑ̃dɛχnɛl]
èakaèp	[ɛakaɛp]
RmèaRgèlon	[ʁmɛaʁgɛlon]
chut	[ʃyt]
dRuksitèouplun	[dʁyksitɛuplyn]
lètaèf	[lɛtaɛf]
iat	[iat]
lèvuvokézRoRiéknaèvlidlarunaèsaipèntubvèt	[lɛvyvokezʁoʁieknaɛvlidlaχynaɛsaipɛntybvɛt]
otkisèm	[otkisɛm]
ijèfaèRnèlukoukèvRianovutson	[iʒɛfaɛʁnɛlykukɛvʁianovytson]
avmaèglout	[avmaɛglut]
robatsivlalsèginol	[χobatsivlalsɛginol]
blèluknavnazunjèraèjnongomnufingamèotègRuniachmofot	[blɛlyknavnazynʒɛχaɛʒnongomnyfingamɛotɛgʁyniaʃmofot]
zoujév	[zuʒev]
ilkèksidam	[ilkɛksidam]
omokél	[omokel]
upunèrugèn	[ypynɛχygɛn]
kniajnailèut	[kniaʒnailɛyt]
zlofsun	[zlofsyn]
boRitsèosnudoRludjésadèulnètèirèapol	[boʁitsɛosnydoʁlydʒesadɛylnɛtɛiχɛapol]
Rbél	[ʁbel]
tlèochiopnéfèvèr	[tlɛoʃiopnefɛvɛχ]
vnilniRanèsiRousnotpal	[vnilniʁɑ̃ɛsiʁusnotpal]
orèR	[oχɛʁ]
oulcholèl	[ulʃolɛl]
lan	[lan]
bon	[bon]
chotlénléètlavgègud	[ʃotlenleɛtlavgɛgyd]
uknipsoftoRnachludul	[yknipsoftoʁnaʃlydyl]
éfranRanébRèfèam	[efχɑ̃ʁɑ̃ebʁɛfɛam]
nvavin	[nvavin]
ounvounolègnil	[unvunolɛgnil]
znèRvasaiktanpubès	[znɛʁvasaiktanpybɛs]
ivjèmios	[ivʒɛmios]
jèkèévnoskèon	[ʒɛkɛevnoskɛon]
oukpèlzuRèédiRèf	[ukpɛlzyʁɛediʁɛf]
snèR	[snɛʁ]
lasmusèdméoulèn	[lasmysɛdmeulɛn]
iètpolènomRichalévérèanèivakronvulrozanvén	[iɛtpolɛnomʁiʃaleveχɛanɛivakχonvylχozanven]
jotièvuvainèch	[ʒotiɛvyvainɛʃ]
zoudzidlèik	[zudzidlɛik]
dvosliapsoséRapinsich	[dvosliapsoseʁapinsiʃ]
mornichsitostègantazèélRakanRèanon	[moχniʃsitostɛgantazɛelʁakɑ̃ʁɛanon]
gam	[gam]
piès	[piɛs]
norèmnolal	[noχɛmnolal]
ltofès	[ltofɛs]
ouralél	[uχalel]
uskol	[yskol]
rnamèonlèRosèolèav	[χnamɛonlɛʁosɛolɛav]
snioutèil	[sniutɛil]
blin	[blin]
unudonlèdajvadid	[ynydonlɛdaʒvadid]
méanas	[meanas]
kosan	[kosan]
unélkoRèonadajèn	[ynelkoʁɛonadaʒɛn]
tètoslèavbut	[tɛtoslɛavbyt]
vèbzobor	[vɛbzoboχ]
dRèdaf	[dʁɛdaf]
vanRétkaèlkamialnudlélumolRalouRèvlalièmavaèdvanal	[vanʁetkaɛlkamialnydlelymolʁaluʁɛvlaliɛmavaɛdvɑ̃al]
tavlaannRèféuvRaf	[tavlaɑ̃nʁɛfeyvʁaf]
vièm	[viɛm]
péar	[peaχ]
chrèn	[ʃχɛn]
lélmainègér	[lelmainɛgeχ]
Rèn	[ʁɛn]
élnaèvRéulèiRouvègéèRèémgaR	[elnaɛvʁeylɛiʁuvɛgeɛʁɛemgaʁ]
èRadlèam	[ɛʁadlɛam]
réRèozèvniakos	[χeʁɛozɛvniakos]
mnupkaf	[mnypkaf]
Rèt	[ʁɛt]
fnimRaj	[fnimʁaʒ]
anan	[ɑ̃an]
èor	[ɛoχ]
dèvRèavdènéif	[dɛvʁɛavdɛneif]
iuplaèdinièchnimdankovmièmliut	[iyplaɛdiniɛʃnimdankovmiɛmliyt]
mditèdgoulazangaévgounlésèftaèlolaiRolèidRousan	[mditɛdgulazangaevgunlesɛftaɛlolaiʁolɛidʁusan]
msuvaèRmèun	[msyvaɛʁmɛyn]
olnièl	[olniɛl]
aèbvouzosanèt	[aɛbvuzosɑ̃ɛt]
ounonodèl	[unonodɛl]
ènpanpènmaèvalaèplèvunbéch	[ɛnpanpɛnmaɛvalaɛplɛvynbeʃ]
RéovotouvèRivjènéud	[ʁeovotuvɛʁivʒɛneyd]
nidob	[nidob]
zéRazèp	[zeʁazɛp]
klèomuvènèitèoR	[klɛomyvɛnɛitɛoʁ]
duvnèuzmévètisniév	[dyvnɛyzmevɛtisniev]
tkutuRèés	[tkytyʁɛes]
uk	[yk]
doRoch	[doʁoʃ]
lnarilzun	[lnaχilzyn]
léulèolèdmaiRnal	[leylɛolɛdmaiʁnal]
uvél	[yvel]
fèdaèn	[fɛdaɛn]
adlichés	[adliʃes]
pnuchian	[pnyʃian]
butsuRnèosnof	[bytsyʁnɛosnof]
gèraésfoul	[gɛχaesful]
iflévalivit	[iflevalivit]
oRoslomvafun	[oʁoslomvafyn]
oulmignètèrnéliompèilénèv	[ulmignɛtɛχneliompɛilenɛv]
anvRéndaantsopèlnèomisoglasolonRaég	[ɑ̃vʁendaɑ̃tsopɛlnɛomisoglasolonʁaeg]
annpotudas	[ɑ̃npotydas]
vènilièvRèus	[vɛniliɛvʁɛys]
mèbléot	[mɛbleot]
rnalonèg	[χnalonɛg]
élvon	[elvon]
flulunaéchputunènRaspérfachièn	[flylynaeʃpytynɛnʁaspeχfaʃiɛn]
éodèiRiv	[eodɛiʁiv]
rusnuk	[χysnyk]
mètusnanèk	[mɛtysnɑ̃ɛk]
sis	[sis]
rajgèazmachas	[χaʒgɛazmaʃas]
oul	[ul]
oRlasèochtofunis	[oʁlasɛoʃtofynis]
riènon	[χiɛnon]
ékèajèlès	[ekɛaʒɛlɛs]
èulèon	[ɛylɛon]
vètpaRbinchèm	[vɛtpaʁbinʃɛm]
ansoRèlijènènoslèonip	[ɑ̃soʁɛliʒɛnɛnoslɛonip]
bojnèn	[boʒnɛn]
bRèouRlaèRèsènluRlamilusèosèuzad	[bʁɛuʁlaɛʁɛsɛnlyʁlamilysɛosɛyzad]
jèznailRatuchubutonviatiltévRunoRiurouvbomtuRlaèpat	[ʒɛznailʁatyʃybytonviatiltevʁynoʁiyχuvbomtyʁlaɛpat]
tluzèinsod	[tlyzɛinsod]
uvus	[yvys]
pèlant	[pɛlɑ̃t]
dozniduRoR	[doznidyʁoʁ]
jaèn	[ʒaɛn]
vopnaf	[vopnaf]
miRaègléd	[miʁaɛgled]
nRuchènsètléadmaèjèlsinukpèon	[nʁyʃɛnsɛtleadmaɛʒɛlsinykpɛon]
ichtiazlènuch	[iʃtiazlɛnyʃ]
fèsiosaès	[fɛsiosaɛs]
élèzbivmèonibgol	[elɛzbivmɛonibgol]
èvnolgansiR	[ɛvnolgansiʁ]
ètliutodonistoRnanèan	[ɛtliytodonistoʁnanɛan]
ltaètlonpol	[ltaɛtlonpol]
lRèdulèun	[lʁɛdylɛyn]
lnalèRèzukizèinzèizdolvam	[lnalɛʁɛzykizɛinzɛizdolvam]
zlèvonèurintal	[zlɛvonɛyχintal]
éanèdéRmitèoRèRèg	[eanɛdeʁmitɛoʁɛʁɛg]
Rgugorisovèvdènos	[ʁgygoχisovɛvdɛnos]
nachsalaiRés	[naʃsalaiʁes]
gvèivnairnounubléis	[gvɛivnaiχnunybleis]
zidul	[zidyl]
ènos	[ɛnos]
nkunénisnalmèRajéodèitélatèalmurtilragnèn	[nkynenisnalmɛʁaʒeodɛitelatɛalmyχtilχagnɛn]
chènvèivaRlidèozozuv	[ʃɛnvɛivaʁlidɛozozyv]
ièRadèlnèmnon	[iɛʁadɛlnɛmnon]
anav	[ɑ̃av]
fanlutluchièchèR	[fanlytlyʃiɛʃɛʁ]
uv	[yv]
tuzmok	[tyzmok]
èm	[ɛm]
nriuvnaivivgoltag	[nχiyvnaivivgoltag]
anp	[ɑ̃p]
pèoz	[pɛoz]
din	[din]
èézian	[ɛezian]
ptènion	[ptɛnion]
dlolsèlnèvnus	[dlolsɛlnɛvnys]
af	[af]
oulRèm	[ulʁɛm]
Ruvirfènèn	[ʁyviχfɛnɛn]
inaRnoRnièr	[inaʁnoʁniɛχ]
chéaRènzivèchunozataèptunopèatkonmiénbèch	[ʃeaʁɛnzivɛʃynozataɛptynopɛatkonmienbɛʃ]
chèivmèR	[ʃɛivmɛʁ]
ok	[ok]
adar	[adaχ]
lumnajlinèvaluladasablotanonaivalèuRlufudlut	[lymnaʒlinɛvalyladasablotanonaivalɛyʁlyfydlyt]
gRalvas	[gʁalvas]
oltodmulRotpontèfsèévèktèch	[oltodmylʁotpontɛfsɛevɛktɛʃ]
vlovaisoRèzvol	[vlovaisoʁɛzvol]
gasèmfonlamlovéèl	[gasɛmfonlamloveɛl]
RaléèlkaidRèéRvafèosojotuch	[ʁaleɛlkaidʁɛeʁvafɛosoʒotyʃ]
us	[ys]
uros	[yχos]
vimatodvaidvaR	[vimatodvaidvaʁ]
Rlaènsultèch	[ʁlaɛnsyltɛʃ]
tsovnèdèjonlalonèul	[tsovnɛdɛʒonlalonɛyl]
aRésilkièlnèlmoglèsnapèdvannvavluR	[aʁesilkiɛlnɛlmoglɛsnapɛdvɑ̃nvavlyʁ]
gounèt	[gunɛt]
gninèt	[gninɛt]
ègurnèar	[ɛgyχnɛaχ]
ntuchéorsod	[ntyʃeoχsod]
zmaplondonmèélfojRèRiandèuRéèRèébaniz	[zmaplondonmɛelfoʒʁɛʁiɑ̃dɛyʁeɛʁɛebɑ̃iz]
rnètatèosatibjiRlèig	[χnɛtatɛosatibʒiʁlɛig]
olob	[olob]
gugRéuch	[gygʁeyʃ]
mpovaèliklèdép	[mpovaɛliklɛdep]
futis	[fytis]
oslantélsèéRlos	[oslɑ̃telsɛeʁlos]
anRadlujlèniès	[ɑ̃ʁadlyʒlɛniɛs]
aroliènlitobèot	[aχoliɛnlitobɛot]
tèoutèbiséèmès	[tɛutɛbiseɛmɛs]
RdosèaRantilèk	[ʁdosɛaʁantilɛk]
undunèl	[yndynɛl]
zvul	[zvyl]
sfokovlav	[sfokovlav]
