aétat	[aetat]
nkaak	[nkaak]
rpiœm	[χpiøm]
œlvir	[ølviχ]
vnann	[vnɑ̃n]
kronr	[kχɔ̃χ]
aTHsat	[aðsat]
oungés	[unges]
nléét	[nleet]
thviit	[θviit]
onmof	[ɔ̃mof]
oukpér	[ukpeχ]
datam	[datam]
upnouk	[ypnuk]
rpèér	[χpɛeχ]
dapouTH	[dapuð]
badig	[badig]
pnéés	[pnees]
uRonv	[yʁɔ̃v]
iœpouk	[iøpuk]
sèRof	[sɛʁof]
anbén	[ɑ̃ben]
abèak	[abɛak]
THarir	[ðaχiχ]
aèmav	[aɛmav]
abiuz	[abiyz]
ouchrèn	[uʃχɛn]
théand	[θeɑ̃d]
uranl	[yχɑ̃l]
èorun	[ɛoχyn]
oskéch	[oskeʃ]
THagés	[ðages]
ènbèr	[ɛnbɛχ]
outonr	[utɔ̃χ]
inonl	[ɛ̃ɔ̃l]
aékar	[aekaχ]
anchœf	[ɑ̃ʃøf]
gvonr	[gvɔ̃χ]
bnaès	[bnaɛs]
nrièTH	[nχiɛð]
uRmèn	[yʁmɛn]
inkét	[ɛ̃ket]
lmonr	[lmɔ̃χ]
pafœk	[paføk]
annuR	[ɑ̃nyʁ]
ovèèl	[ovɛɛl]
obRir	[obʁiχ]
dionn	[diɔ̃n]
dianm	[diɑ̃m]
chénœR	[ʃenøʁ]
vnanR	[vnɑ̃ʁ]
jukar	[ʒykaχ]
Rliéf	[ʁlief]
zRint	[zʁɛ̃t]
thinit	[θɛ̃it]
œsonr	[øsɔ̃χ]
afkis	[afkis]
ourlouR	[uχluʁ]
œksèk	[øksɛk]
pnèéch	[pnɛeʃ]
vœthik	[vøθik]
thgaag	[θgaag]
oudRén	[udʁen]
ianèn	[ianɛn]
gmaak	[gmaak]
anjak	[ɑ̃ʒak]
plinr	[plɛ̃χ]
évbab	[evbab]
éflèd	[eflɛd]
œdééb	[ødeeb]
inrèn	[ɛ̃χɛn]
chpèach	[ʃpɛaʃ]
angéz	[ɑ̃gez]
vnonch	[vnɔ̃ʃ]
athnon	[aθnon]
rpaèt	[χpaɛt]
ginœk	[gɛ̃øk]
urnal	[yχnal]
Rvéér	[ʁveeχ]
èmèit	[ɛmɛit]
ènrèl	[ɛnχɛl]
unzis	[ynzis]
zRonz	[zʁɔ̃z]
pronr	[pχɔ̃χ]
zbiét	[zbiet]
igaék	[igaek]
mdéug	[mdeyg]
urnès	[yχnɛs]
lvèèp	[lvɛɛp]
dléik	[dleik]
mkèéch	[mkɛeʃ]
fnèèp	[fnɛɛp]
mbèén	[mbɛen]
vlèèv	[vlɛɛv]
vRèœch	[vʁɛøʃ]
tpéém	[tpeem]
Rakir	[ʁakiχ]
rponm	[χpɔ̃m]
iTHiès	[iðiɛs]
thzéam	[θzeam]
chfèip	[ʃfɛip]
œnthip	[ønθip]
alnas	[alnas]
obdèb	[obdɛb]
éRèéch	[eʁɛeʃ]
onnœk	[ɔ̃nøk]
gélèt	[gelɛt]
jzèœR	[ʒzɛøʁ]
œtrœr	[øtχøχ]
onRéf	[ɔ̃ʁef]
œtréf	[øtχef]
rnéén	[χneen]
étrop	[etχop]
tfiid	[tfiid]
zèons	[zɛɔ̃s]
uktén	[ykten]
snand	[snɑ̃d]
thèfaf	[θɛfaf]
THfèép	[ðfɛep]
bninp	[bnɛ̃p]
œpaat	[øpaat]
jomul	[ʒomyl]
tchiouR	[tʃiuʁ]
mgaad	[mgaad]
Rgèaf	[ʁgɛaf]
èœkour	[ɛøkuχ]
ksain	[ksain]
fobèt	[fobɛt]
ptién	[ptien]
œtTHaR	[øtðaʁ]
THpanf	[ðpɑ̃f]
vlank	[vlɑ̃k]
inans	[ɛ̃ɑ̃s]
fékif	[fekif]
onmif	[ɔ̃mif]
tèinn	[tɛɛ̃n]
inbouTH	[ɛ̃buð]
mbèar	[mbɛaχ]
Rœpèf	[ʁøpɛf]
urnoun	[yχnun]
nméèp	[nmeɛp]
ougzèv	[ugzɛv]
jniék	[ʒniek]
fnèœb	[fnɛøb]
chœzéTH	[ʃøzeð]
œpèèb	[øpɛɛb]
chkanTH	[ʃkɑ̃ð]
indœs	[ɛ̃døs]
bnonr	[bnɔ̃χ]
oufsan	[ufsan]
œvRik	[øvʁik]
oRbèn	[oʁbɛn]
ouprèf	[upχɛf]
lgéar	[lgeaχ]
ignès	[ignɛs]
vonœb	[vonøb]
péson	[peson]
œthèif	[øθɛif]
œRinv	[øʁɛ̃v]
gouRog	[guʁog]
thRonch	[θʁɔ̃ʃ]
chénœp	[ʃenøp]
ovRèt	[ovʁɛt]
onRèp	[ɔ̃ʁɛp]
outroum	[utχum]
udmèr	[ydmɛχ]
jbèar	[ʒbɛaχ]
opném	[opnem]
zurœf	[zyχøf]
ètmor	[ɛtmoχ]
œRièv	[øʁiɛv]
chTHéép	[ʃðeep]
inond	[ɛ̃ɔ̃d]
inonp	[ɛ̃ɔ̃p]
onmœf	[ɔ̃møf]
valan	[valan]
kèrap	[kɛχap]
vthanf	[vθɑ̃f]
ftonf	[ftɔ̃f]
gninp	[gnɛ̃p]
angoun	[ɑ̃gun]
vavam	[vavam]
nféén	[nfeen]
èmTHéd	[ɛmðed]
thléèch	[θleɛʃ]
ouspœs	[uspøs]
ouraich	[uχaiʃ]
ouTHrug	[uðχyg]
anchan	[anʃan]
tsanz	[tsɑ̃z]
kpéaf	[kpeaf]
oRlin	[oʁlin]
nothim	[noθim]
éœluR	[eølyʁ]
abèér	[abɛeχ]
traap	[tχaap]
dbiil	[dbiil]
okros	[okχos]
louvim	[luvim]
zlank	[zlɑ̃k]
afrép	[afχep]
jdèam	[ʒdɛam]
bRèém	[bʁɛem]
tarœn	[taχøn]
pnaéd	[pnaed]
anzin	[ɑ̃zin]
kméal	[kmeal]
aglœl	[agløl]
antœR	[ɑ̃tøʁ]
réRal	[χeʁal]
lfaém	[lfaem]
agloun	[aglun]
abaiTH	[abaið]
ogink	[ogɛ̃k]
izèaf	[izɛaf]
rséœv	[χseøv]
épaèm	[epaɛm]
gbèèt	[gbɛɛt]
Rlonl	[ʁlɔ̃l]
œnéaf	[øneaf]
èbnès	[ɛbnɛs]
lfèof	[lfɛof]
œgnœd	[øgnød]
œvgèf	[øvgɛf]
ésing	[esɛ̃g]
tséœth	[tseøθ]
éèRéch	[eɛʁeʃ]
glint	[glɛ̃t]
nianp	[niɑ̃p]
rlaik	[χlaik]
obthir	[obθiχ]
zgéud	[zgeyd]
égiès	[egiɛs]
inrak	[ɛ̃χak]
zvéèl	[zveɛl]
éègad	[eɛgad]
œkièb	[økiɛb]
znanTH	[znɑ̃ð]
ouvnèr	[uvnɛχ]
alsél	[alsel]
chrèéb	[ʃχɛeb]
lœnœr	[lønøχ]
kètiR	[kɛtiʁ]
ouprév	[upχev]
outiib	[utiib]
iégun	[iegyn]
finin	[fɛ̃in]
THréuch	[ðχeyʃ]
chénèn	[ʃenɛn]
ligèg	[ligɛg]
épont	[epɔ̃t]
danèf	[danɛf]
anpouR	[ɑ̃puʁ]
ouptil	[uptil]
ouRéèt	[uʁeɛt]
klaèj	[klaɛʒ]
urtoug	[yχtug]
tlonf	[tlɔ̃f]
épèor	[epɛoχ]
aRnod	[aʁnod]
aRmas	[aʁmas]
oklœk	[okløk]
éRnœs	[eʁnøs]
zbaéch	[zbaeʃ]
Rèinr	[ʁɛɛ̃χ]
éRgouf	[eʁguf]
kliès	[kliɛs]
okiak	[okiak]
ènmis	[ɛnmis]
onviTH	[ɔ̃við]
ounfèf	[unfɛf]
dvons	[dvɔ̃s]
gœboch	[gøboʃ]
jokol	[ʒokol]
éœfak	[eøfak]
kchèik	[kʃɛik]
ovaék	[ovaek]
vléir	[vleiχ]
kfonk	[kfɔ̃k]
RœvouR	[ʁøvuʁ]
sfééd	[sfeed]
danar	[danaχ]
ontoup	[ontup]
ouRnéch	[uʁneʃ]
ranép	[χɑ̃ep]
inRin	[ɛ̃ʁin]
THsèèk	[ðsɛɛk]
vméouch	[vmeuʃ]
gnèouv	[gnɛuv]
lœsal	[løsal]
thnèuk	[θnɛyk]
glann	[glɑ̃n]
gnanf	[gnɑ̃f]
onrœk	[onχøk]
èéfof	[ɛefof]
ouprék	[upχek]
anbap	[anbap]
ornof	[oχnof]
ègnèr	[ɛgnɛχ]
fèméb	[fɛmeb]
lmèép	[lmɛep]
zdèaf	[zdɛaf]
onRiv	[ɔ̃ʁiv]
lkaéR	[lkaeʁ]
ivnib	[ivnib]
iltaR	[iltaʁ]
dméèf	[dmeɛf]
onsas	[onsas]
dméov	[dmeov]
vlong	[vlɔ̃g]
thléép	[θleep]
uznig	[yznig]
rkéor	[χkeoχ]
zjian	[zʒian]
lfèan	[lfɛan]
kouléd	[kuled]
spaéth	[spaeθ]
iftèk	[iftɛk]
lnéav	[lneav]
skaév	[skaev]
mbéèv	[mbeɛv]
vthèèr	[vθɛɛχ]
onsak	[ɔ̃sak]
thainf	[θaɛ̃f]
stèéf	[stɛef]
tépèn	[tepɛn]
zléép	[zleep]
iRlak	[iʁlak]
spons	[spɔ̃s]
iotès	[iotɛs]
uchsom	[yʃsom]
mbèout	[mbɛut]
uthmès	[yθmɛs]
énran	[enχan]
anrik	[ɑ̃χik]
éémèt	[eemɛt]
bRand	[bʁɑ̃d]
œRèéf	[øʁɛef]
poudék	[pudek]
oslék	[oslek]
outéaTH	[uteað]
ongap	[ɔ̃gap]
atfat	[atfat]
foupék	[fupek]
aRbèn	[aʁbɛn]
éèthap	[eɛθap]
iskér	[iskeχ]
oudbif	[udbif]
èvzèl	[ɛvzɛl]
gosir	[gosiχ]
onfér	[ɔ̃feχ]
lchonf	[lʃɔ̃f]
inRéf	[inʁef]
éémaz	[eemaz]
lséèn	[lseɛn]
chpèœb	[ʃpɛøb]
gouthok	[guθok]
pting	[ptɛ̃g]
uptob	[yptob]
orèéd	[oχɛed]
onrœg	[ɔ̃χøg]
œdjin	[ødʒin]
aktit	[aktit]
snonm	[snɔ̃m]
nranm	[nχɑ̃m]
tméin	[tmein]
ipsif	[ipsif]
outlouR	[utluʁ]
thlonk	[θlɔ̃k]
éatén	[eaten]
mgèéR	[mgɛeʁ]
ouknék	[uknek]
anmav	[anmav]
èuvéf	[ɛyvef]
oprœl	[opχøl]
sraag	[sχaag]
anvor	[ɑ̃voχ]
onrib	[ɔ̃χib]
gRans	[gʁɑ̃s]
pèdés	[pɛdes]
œRdis	[øʁdis]
bvinn	[bvɛ̃n]
Rèsar	[ʁɛsaχ]
infèch	[infɛʃ]
œpiœr	[øpiøχ]
gdanf	[gdɑ̃f]
oulgér	[ulgeχ]
gnéip	[gneip]
RlèiTH	[ʁlɛið]
chnèis	[ʃnɛis]
optan	[optan]
ozRod	[ozʁod]
panèv	[pɑ̃ɛv]
fétam	[fetam]
dœlouk	[døluk]
adgif	[adgif]
anRouR	[ɑ̃ʁuʁ]
rchiœm	[χʃiøm]
ananr	[ɑ̃ɑ̃χ]
ikchor	[ikʃoχ]
œniab	[øniab]
èibèp	[ɛibɛp]
mRann	[mʁɑ̃n]
angèn	[ɑ̃gɛn]
oznèd	[oznɛd]
œbéèn	[øbeɛn]
ibgèd	[ibgɛd]
banaR	[banaʁ]
chnanf	[ʃnɑ̃f]
aTHril	[aðχil]
sléèr	[sleɛχ]
pninr	[pnɛ̃χ]
pkaèTH	[pkaɛð]
oupchak	[upʃak]
œgRog	[øgʁog]
èbnom	[ɛbnom]
obaan	[obaan]
mkonTH	[mkɔ̃ð]
œtèik	[øtɛik]
œvnèv	[øvnɛv]
œrloub	[øχlub]
ontèm	[ɔ̃tɛm]
ondat	[ondat]
lnann	[lnɑ̃n]
kfééch	[kfeeʃ]
chsèop	[ʃsɛop]
astap	[astap]
sronR	[sχɔ̃ʁ]
lTHéèk	[lðeɛk]
ontag	[ɔ̃tag]
THnèèl	[ðnɛɛl]
pront	[pχɔ̃t]
mRaèk	[mʁaɛk]
gviéd	[gvied]
snèèr	[snɛɛχ]
ingéf	[ɛ̃gef]
œRlèr	[øʁlɛχ]
iséub	[iseyb]
THédœn	[ðedøn]
nRanp	[nʁɑ̃p]
œfnon	[øfnon]
vzinr	[vzɛ̃χ]
ouvgour	[uvguχ]
utonn	[ytɔ̃n]
bthéif	[bθeif]
nkaig	[nkaig]
taTHaf	[taðaf]
nmonn	[nmɔ̃n]
ansèr	[ɑ̃sɛχ]
mœtœTH	[møtøð]
mnaach	[mnaaʃ]
frèar	[fχɛaχ]
mpinch	[mpɛ̃ʃ]
ufnil	[yfnil]
antor	[ɑ̃toχ]
éthbér	[eθbeχ]
zRaèn	[zʁaɛn]
tèRan	[tɛʁan]
iprir	[ipχiχ]
gètœn	[gɛtøn]
unèèn	[ynɛɛn]
gthièr	[gθiɛχ]
ènrœch	[ɛnχøʃ]
lougas	[lugas]
uRdour	[yʁduχ]
ingik	[ɛ̃gik]
jvèéth	[ʒvɛeθ]
oubRœs	[ubʁøs]
ofont	[ofɔ̃t]
égthœp	[egθøp]
inbél	[ɛ̃bel]
vnonm	[vnɔ̃m]
olonp	[olɔ̃p]
kséad	[ksead]
épnof	[epnof]
néonp	[neɔ̃p]
chféès	[ʃfeɛs]
joRèt	[ʒoʁɛt]
akonch	[akɔ̃ʃ]
vifar	[vifaχ]
oumful	[umfyl]
èstèr	[ɛstɛχ]
vétoun	[vetun]
èfros	[ɛfχos]
bnèèn	[bnɛɛn]
œksop	[øksop]
kpanz	[kpɑ̃z]
othnèn	[oθnɛn]
fiRèm	[fiʁɛm]
èèboun	[ɛɛbun]
outrèt	[utχɛt]
snèiTH	[snɛið]
éféiv	[efeiv]
subœr	[sybøχ]
éœvès	[eøvɛs]
ibiér	[ibieχ]
zinam	[zɛ̃am]
ufkœp	[yfkøp]
bRèéR	[bʁɛeʁ]
Ranér	[ʁɑ̃eχ]
olnit	[olnit]
èmièTH	[ɛmiɛð]
odmiR	[odmiʁ]
zéanr	[zeɑ̃χ]
avlon	[avlon]
éèRèb	[eɛʁɛb]
éfpèn	[efpɛn]
thnonR	[θnɔ̃ʁ]
daréd	[daχed]
knéum	[kneym]
inonk	[ɛ̃ɔ̃k]
inlal	[inlal]
nénœp	[nenøp]
œsfèn	[øsfɛn]
oulgad	[ulgad]
èvaév	[ɛvaev]
fèfoup	[fɛfup]
iégad	[iegad]
vinés	[vɛ̃es]
jbinr	[ʒbɛ̃χ]
mèdœk	[mɛdøk]
œspœTH	[øspøð]
itféR	[itfeʁ]
vmanR	[vmɑ̃ʁ]
étèap	[etɛap]
oufTHèn	[ufðɛn]
œkéoul	[økeul]
uTHaiv	[yðaiv]
THkons	[ðkɔ̃s]
ètonn	[ɛtɔ̃n]
thbèœn	[θbɛøn]
damam	[damam]
ozmèr	[ozmɛχ]
insœl	[ɛ̃søl]
Rmonf	[ʁmɔ̃f]
donèb	[donɛb]
ougaèl	[ugaɛl]
ounfév	[unfev]
énzér	[enzeχ]
uksag	[yksag]
sèkèR	[sɛkɛʁ]
anmous	[ɑ̃mus]
ngéèr	[ngeɛχ]
vRéœt	[vʁeøt]
pœtaR	[pøtaʁ]
mkonf	[mkɔ̃f]
vdaés	[vdaes]
dRèan	[dʁɛan]
bvèoup	[bvɛup]
oublak	[ublak]
èmRous	[ɛmʁus]
thbéén	[θbeen]
Radœt	[ʁadøt]
mléouR	[mleuʁ]
vmèos	[vmɛos]
ugonn	[ygɔ̃n]
èukék	[ɛykek]
œmgat	[ømgat]
itand	[itɑ̃d]
irlèk	[iχlɛk]
uchsil	[yʃsil]
oTHrèf	[oðχɛf]
pnanR	[pnɑ̃ʁ]
zjonch	[zʒɔ̃ʃ]
ptonch	[ptɔ̃ʃ]
igiès	[igiɛs]
udméf	[ydmef]
rfank	[χfɑ̃k]
ounéér	[uneeχ]
inbœr	[inbøχ]
oTHnon	[oðnon]
uglip	[yglip]
uméèj	[ymeɛʒ]
Rézèn	[ʁezɛn]
épfouk	[epfuk]
èifèt	[ɛifɛt]
thapok	[θapok]
arfob	[aχfob]
chfink	[ʃfɛ̃k]
inlib	[ɛ̃lib]
itkèf	[itkɛf]
èomaf	[ɛomaf]
onchœk	[ɔ̃ʃøk]
nléép	[nleep]
alrœf	[alχøf]
THkonf	[ðkɔ̃f]
ngaés	[ngaes]
bèjouf	[bɛʒuf]
uTHram	[yðχam]
onsèr	[ɔ̃sɛχ]
ndéiTH	[ndeið]
gbonk	[gbɔ̃k]
gœfos	[gøfos]
nmèiv	[nmɛiv]
unRaf	[ynʁaf]
jnanp	[ʒnɑ̃p]
oupfos	[upfos]
nkaaR	[nkaaʁ]
rléét	[χleet]
oujnèch	[uʒnɛʃ]
énféR	[enfeʁ]
lrèèg	[lχɛɛg]
ganép	[gɑ̃ep]
œlsal	[ølsal]
éTHpar	[eðpaχ]
èrpèn	[ɛχpɛn]
èrnok	[ɛχnok]
atpèk	[atpɛk]
mfanl	[mfɑ̃l]
œpsér	[øpseχ]
utanl	[ytɑ̃l]
chœpœk	[ʃøpøk]
uflén	[yflen]
tfinm	[tfɛ̃m]
iTHchœs	[iðʃøs]
gmééf	[gmeef]
suRouch	[syʁuʃ]
vnanr	[vnɑ̃χ]
dgèér	[dgɛeχ]
annèch	[ɑ̃nɛʃ]
oftud	[oftyd]
insèTH	[insɛð]
gvaép	[gvaep]
loubèf	[lubɛf]
oTHaés	[oðaes]
chtonp	[ʃtɔ̃p]
banèn	[bɑ̃ɛn]
èrnak	[ɛχnak]
gdéék	[gdeek]
zRièg	[zʁiɛg]
skonn	[skɔ̃n]
vanaR	[vɑ̃aʁ]
œRvèr	[øʁvɛχ]
amdat	[amdat]
zélan	[zelan]
binèm	[bɛ̃ɛm]
œchnœn	[øʃnøn]
thogal	[θogal]
kètèf	[kɛtɛf]
gmonTH	[gmɔ̃ð]
sméoR	[smeoʁ]
vgiél	[vgiel]
THtiar	[ðtiaχ]
arsèn	[aχsɛn]
anthœn	[ɑ̃θøn]
œfchup	[øfʃyp]
okléTH	[okleð]
anchan	[ɑ̃ʃan]
dibouR	[dibuʁ]
vnaèt	[vnaɛt]
aatim	[aatim]
vèlœch	[vɛløʃ]
omzœd	[omzød]
klonn	[klɔ̃n]
édRén	[edʁen]
aadèch	[aadɛʃ]
diRaf	[diʁaf]
mévèm	[mevɛm]
psèéf	[psɛef]
œméék	[ømeek]
géfoch	[gefoʃ]
onvèn	[ɔ̃vɛn]
œjbèd	[øʒbɛd]
ouprén	[upχen]
mnèuf	[mnɛyf]
anpad	[ɑ̃pad]
gakéch	[gakeʃ]
èitèd	[ɛitɛd]
ismat	[ismat]
gRiouf	[gʁiuf]
radod	[χadod]
osank	[osɑ̃k]
adaèm	[adaɛm]
artès	[aχtɛs]
gèbém	[gɛbem]
THraèp	[ðχaɛp]
ouvnaf	[uvnaf]
ouranr	[uχɑ̃χ]
oufsèg	[ufsɛg]
altab	[altab]
itfof	[itfof]
étèèk	[etɛɛk]
THféuch	[ðfeyʃ]
pchonk	[pʃɔ̃k]
fsonp	[fsɔ̃p]
inRob	[ɛ̃ʁob]
didik	[didik]
ouknoun	[uknun]
zèink	[zɛɛ̃k]
pséék	[pseek]
bonéz	[bonez]
gmaén	[gmaen]
ufmœr	[yfmøχ]
iskal	[iskal]
œknér	[økneχ]
umvér	[ymveχ]
tpéœR	[tpeøʁ]
vochouk	[voʃuk]
anvèf	[ɑ̃vɛf]
œgiœv	[øgiøv]
mtonf	[mtɔ̃f]
fiRèch	[fiʁɛʃ]
chufét	[ʃyfet]
lkonb	[lkɔ̃b]
aèTHèb	[aɛðɛb]
oranf	[oχɑ̃f]
mrééf	[mχeef]
thotour	[θotuχ]
thbaiv	[θbaiv]
pchinn	[pʃɛ̃n]
inonr	[ɛ̃ɔ̃χ]
otèab	[otɛab]
chsèid	[ʃsɛid]
jœsèm	[ʒøsɛm]
chliéTH	[ʃlieð]
épchéd	[epʃed]
éznag	[eznag]
èagouR	[ɛaguʁ]
ojiil	[oʒiil]
lranch	[lχɑ̃ʃ]
THkèœTH	[ðkɛøð]
sronb	[sχɔ̃b]
jafèp	[ʒafɛp]
anèak	[anɛak]
THèbèv	[ðɛbɛv]
èlchous	[ɛlʃus]
aRjèch	[aʁʒɛʃ]
odbéb	[odbeb]
dganr	[dgɑ̃χ]
THchèég	[ðʃɛeg]
oupéœd	[upeød]
usrin	[ysχin]
oufnèR	[ufnɛʁ]
chédœm	[ʃedøm]
iajèch	[iaʒɛʃ]
alséR	[alseʁ]
chTHèoul	[ʃðɛul]
èoudal	[ɛudal]
mèonj	[mɛɔ̃ʒ]
onbès	[ɔ̃bɛs]
èRdan	[ɛʁdan]
tfond	[tfɔ̃d]
ènmouf	[ɛnmuf]
jRaif	[ʒʁaif]
œtrén	[øtχen]
éjnas	[eʒnas]
otmour	[otmuχ]
znèèTH	[znɛɛð]
bdain	[bdain]
onbèp	[ɔ̃bɛp]
égbœt	[egbøt]
bléour	[bleuχ]
vèfœm	[vɛføm]
bvéœk	[bveøk]
vzink	[vzɛ̃k]
ktonf	[ktɔ̃f]
gutir	[gytiχ]
œpèér	[øpɛeχ]
aRgéf	[aʁgef]
Réand	[ʁeɑ̃d]
olanTH	[olɑ̃ð]
THènét	[ðɛnet]
ouponk	[upɔ̃k]
épnér	[epneχ]
omnép	[omnep]
Rdéét	[ʁdeet]
gthèaj	[gθɛaʒ]
fséèth	[fseɛθ]
agRén	[agʁen]
opanr	[opɑ̃χ]
annur	[ɑ̃nyχ]
aanép	[aanep]
Rètœk	[ʁɛtøk]
spèœn	[spɛøn]
vdinz	[vdɛ̃z]
inbœm	[inbøm]
chètœf	[ʃɛtøf]
uchièm	[yʃiɛm]
chétim	[ʃetim]
utchak	[ytʃak]
zvinn	[zvɛ̃n]
égaag	[egaag]
Rnaéf	[ʁnaef]
ouzaét	[uzaet]
ginèf	[ginɛf]
artés	[aχtes]
èvbof	[ɛvbof]
ansap	[ɑ̃sap]
sitœp	[sitøp]
jèthav	[ʒɛθav]
iaRér	[iaʁeχ]
THfèap	[ðfɛap]
ithèér	[iθɛeχ]
znèèn	[znɛɛn]
thagéz	[θagez]
Rlonk	[ʁlɔ̃k]
èdonf	[ɛdɔ̃f]
znonk	[znɔ̃k]
gzèèd	[gzɛɛd]
THraas	[ðχaas]
avnour	[avnuχ]
lanar	[lɑ̃aχ]
onbon	[onbon]
lfair	[lfaiχ]
ébèèk	[ebɛɛk]
èzgér	[ɛzgeχ]
kronp	[kχɔ̃p]
thninf	[θnɛ̃f]
inbout	[ɛ̃but]
onfir	[ɔ̃fiχ]
ouRnaf	[uʁnaf]
thRaéf	[θʁaef]
uléat	[yleat]
èèlém	[ɛɛlem]
kibif	[kibif]
igRém	[igʁem]
onchép	[ɔ̃ʃep]
unpout	[ynput]
aaRar	[aaʁaχ]
ounkèt	[unkɛt]
ftiœn	[ftiøn]
orfép	[oχfep]
œkéan	[økean]
œnaan	[ønaan]
outchouz	[utʃuz]
dliék	[dliek]
fmanv	[fmɑ̃v]
blonf	[blɔ̃f]
lronl	[lχɔ̃l]
oumtœn	[umtøn]
gmior	[gmioχ]
astèn	[astɛn]
èkTHat	[ɛkðat]
bèdén	[bɛden]
nègék	[nɛgek]
énkès	[enkɛs]
insaTH	[ɛ̃sað]
ormol	[oχmol]
znéèv	[zneɛv]
knéon	[kneon]
bdéat	[bdeat]
œRdok	[øʁdok]
éoukèp	[eukɛp]
THèmuk	[ðɛmyk]
inkèf	[ɛ̃kɛf]
uRéèg	[yʁeɛg]
chiRèk	[ʃiʁɛk]
œtiéb	[øtieb]
vmanm	[vmɑ̃m]
ofpèb	[ofpɛb]
lètir	[lɛtiχ]
répik	[χepik]
œrtas	[øχtas]
vougèl	[vugɛl]
jgonm	[ʒgɔ̃m]
ongaf	[ɔ̃gaf]
omlas	[omlas]
uknal	[yknal]
rianf	[χiɑ̃f]
inand	[ɛ̃ɑ̃d]
titèp	[titɛp]
anvèz	[ɑ̃vɛz]
mtonk	[mtɔ̃k]
lRaés	[lʁaes]
chèjèk	[ʃɛʒɛk]
vatan	[vatan]
rféis	[χfeis]
klaém	[klaem]
jèfos	[ʒɛfos]
ankér	[ankeχ]
mfinl	[mfɛ̃l]
fikad	[fikad]
anfag	[ɑ̃fag]
Résaf	[ʁesaf]
ananch	[ɑ̃ɑ̃ʃ]
bnaèd	[bnaɛd]
rléach	[χleaʃ]
iséèp	[iseɛp]
zjéar	[zʒeaχ]
THkèèb	[ðkɛɛb]
anchén	[ɑ̃ʃen]
onpém	[onpem]
béonr	[beɔ̃χ]
uméouch	[ymeuʃ]
azlif	[azlif]
gmonp	[gmɔ̃p]
znèouf	[znɛuf]
éébak	[eebak]
ravœb	[χavøb]
algin	[algin]
oulgas	[ulgas]
anpèb	[anpɛb]
anang	[ɑ̃ɑ̃g]
